Date,Open,High,Low,Close,Volume
2021-05-09 03:55:00,58008.9,58008.92,57955.55,57955.55,0.00206771
2021-05-09 03:56:00,57955.53,58163.96,57955.53,58163.96,0.00550841
2021-05-09 03:57:00,58015.85,58044.35,58001.64,58001.64,0.00550584
2021-05-09 03:58:00,58001.62,58001.64,57965.97,57965.99,0.00550805
2021-05-09 03:59:00,58030.09,58185.77,57988.36,57988.38,0.00550745
2021-05-09 04:00:00,57980.07,58144.09,57969,57969.02,0.00378905
2021-05-09 04:01:00,58002.66,58020.72,58002.66,58020.72,0.00206694
2021-05-09 04:02:00,58046.95,58216.02,58046.95,58216.02,0.01929057
2021-05-09 04:03:00,58095.21,58095.23,58048.93,58048.95,0.00306481
2021-05-09 04:04:00,58049.92,58071.17,58049.92,58071.17,0.00378786
2021-05-09 04:05:00,58024.72,58066.65,58024.72,58053.82,0.00206578
2021-05-09 04:06:00,58053.8,58053.82,58008.14,58008.16,0.00206625
2021-05-09 04:07:00,57975.8,58031.36,57975.8,58031.36,0.08351501
2021-05-09 04:08:00,57985,58120.18,57961.25,57961.25,0.0040672
2021-05-09 04:09:00,57958,58082.77,57935.56,57935.58,0.01929497
2021-05-09 04:10:00,57930.53,57976.59,57930.51,57976.59,0.08842824
2021-05-09 04:11:00,57961.73,57992.42,57961.73,57992.4,0.04246233
2021-05-09 04:12:00,57992.42,58000.01,57991.31,58000.01,0.12396481
2021-05-09 04:13:00,58007.21,58020.02,58007.21,58020,0.00533757
2021-05-09 04:14:00,58020.02,58020.02,57996.07,57996.09,0.00740438
2021-05-09 04:15:00,58032.57,58032.59,57974.43,57974.45,0.00651011
2021-05-09 04:16:00,57991.45,58005.77,57991.45,58005.77,0.00206739
2021-05-09 04:17:00,57975,57975.02,57973.16,57973.18,0.10021054
2021-05-09 04:18:00,57995.18,58074.94,57995.18,58033.01,0.00894988
2021-05-09 04:19:00,58007.49,58007.51,57967.82,57967.84,0.08298839
2021-05-09 04:20:00,57967.84,58127.15,57967.84,58127.15,0.00723088
2021-05-09 04:21:00,58036.13,58052.96,58036.13,58052.94,0.00533542
2021-05-09 04:22:00,58052.96,58103.17,58052.96,58103.17,0.00223597
2021-05-09 04:23:00,58103.15,58103.17,58046.37,58046.39,0.00306466
2021-05-09 04:24:00,58021.75,58021.77,57933.1,57933.12,0.00479166
2021-05-09 04:25:00,57975.57,57975.59,57925.58,57925.6,0.0030691
2021-05-09 04:26:00,57973.92,58036.23,57973.92,58036.23,0.08283836
2021-05-09 04:27:00,58044.4,58044.42,58038.52,58038.54,0.10571176
2021-05-09 04:28:00,58009.58,58116.41,57981.13,57981.15,0.08372525
2021-05-09 04:29:00,58024.74,58028.27,58024.74,58028.25,0.08257918
2021-05-09 04:30:00,58028.27,58090.99,58003.07,58090.99,0.0096134
2021-05-09 04:31:00,58090.97,58091.1,58090.97,58091.1,0.0077166
2021-05-09 04:32:00,58054.58,58155.38,58054.58,58155.38,0.01924122
2021-05-09 04:33:00,58107.45,58152.76,58107.45,58152.76,0.10206274
2021-05-09 04:34:00,58129.75,58161.43,58129.75,58161.43,0.00378236
2021-05-09 04:35:00,58179.59,58179.61,58178.74,58178.76,0.002061
2021-05-09 04:36:00,58191.28,58191.3,58177.56,58177.58,0.00206079
2021-05-09 04:37:00,58181.14,58181.16,58148.24,58148.24,0.00853668
2021-05-09 04:38:00,58178.58,58216.12,58161.72,58161.74,0.00223281
2021-05-09 04:39:00,58161.63,58216.12,58161.63,58179.2,0.00206114
2021-05-09 04:40:00,58174.41,58174.41,58085.68,58085.68,0.00577782
2021-05-09 04:41:00,58069.35,58069.37,58041.89,58041.91,0.00206535
2021-05-09 04:42:00,58029.59,58216.12,58029.59,58187.37,0.10122147
2021-05-09 04:43:00,58071.23,58088.33,58071.21,58088.33,0.04227945
2021-05-09 04:44:00,58079.89,58107.94,58079.87,58107.94,0.02388939
2021-05-09 04:45:00,58124.31,58124.33,58089.4,58089.42,0.00206355
2021-05-09 04:46:00,58084.78,58084.8,58059.84,58059.86,0.14284176
2021-05-09 04:47:00,58129.96,58171.15,58129.96,58159.24,0.02467409
2021-05-09 04:48:00,58160.25,58160.27,58126.59,58126.61,0.00206226
2021-05-09 04:49:00,58074.59,58105.12,58074.59,58105.12,0.08223154
2021-05-09 04:50:00,58105.12,58136.67,58052.99,58136.67,0.04386707
2021-05-09 04:51:00,58039.67,58130.64,58039.67,58130.64,0.0221005
2021-05-09 04:52:00,58045.14,58045.16,58011.08,58011.1,0.01927004
2021-05-09 04:53:00,58054.47,58054.49,57984.37,57984.39,0.01411481
2021-05-09 04:54:00,57997.72,58025.49,57997.72,58025.49,0.00379032
2021-05-09 04:55:00,58008.9,58039.43,58008.9,58039.43,0.00206646
2021-05-09 04:56:00,58035.82,58057.56,58035.82,58057.56,0.00206568
